id	nk	ref_sk	hyp_sk	whole_chrF3	dialect_specific_chrF3	dialect_invariant_chrF3	combined_dialect_aware_chrF3	ref_dialect_spans	hyp_dialect_spans	ref_invariant	hyp_invariant
11	래일 일을 자랑하지 말아라.	내일 일을 자랑하지 말아라.	래일 일을 자랑하지 말아라.	89.11315536315534	25.0	100.0	47.5	내일	래일	일을 자랑하지 말아라.	일을 자랑하지 말아라.
12	나는 걸상을 뛰여넘기도 하고 책상밑으로 기여나가기도 하면서 난로옆까지 갔다.	나는 걸상을 뛰어넘기도 하고 책상 밑으로 기어나가기도 하면서 난로 옆까지 갔다.	나는 걸상을 뛰어넘기도 하고 책상 밑으로 기여나가기도 하면서 난로 옆까지 갔다.	88.56061163721228	54.41137566137567	100.0	68.08796296296298	뛰어 책상 밑 기어 난로 옆	뛰어 책상 밑 기여 난로 옆	나는 걸상을 넘기도 하고 으로 나가기도 하면서 까지 갔다.	나는 걸상을 넘기도 하고 으로 나가기도 하면서 까지 갔다.
13	아침이 되여 날이 밝았을때 그들은 모두 시체로 발견되였다.	아침이 되어 날이 밝았을 때 그들은 모두 시체로 발견되었다.	아침이 되여 날이 밝았을 때 그들은 모두 시체로 발견되었다.	84.60530773574251	76.96368446368447	100.0	83.87457912457913	되어 밝았을 때 발견되었다	되여 밝았을 때 발견되었다	아침이  날이  그들은 모두 시체로 .	아침이  날이  그들은 모두 시체로 .
14	그 녀자는 홀로 원탁곁에 서서 사진첩우에 몸을 굽히고 점잖게 들여다보고있었는데 마치 누가 곁으로 오기를 기다리는듯싶었다.	그 여자는 홀로 원탁 곁에 서서 사진첩 위에 몸을 굽히고 점잖게 들여다보고 있었는데 마치 누가 곁으로 오기를 기다리는 듯 싶었다.	그 녀자는 홀로 원탁 곁에 서서 사진첩위에 몸을 굽히고 점잖게 들여다보고 있었는데 마치 누가 곁으로 오기를 기다리는 듯 싶었다.	96.34953095897286	95.7219990154773	100.0	97.00539931083411	여자 원탁 곁 사진첩 위 들여다보고 있었는데 기다리는 듯 싶었다	녀자 원탁 곁 사진첩위 들여다보고 있었는데 기다리는 듯 싶었다	그 는 홀로 에 서서 에 몸을 굽히고 점잖게  마치 누가 곁으로 오기를 .	그 는 홀로 에 서서 에 몸을 굽히고 점잖게  마치 누가 곁으로 오기를 .
15	그 이름은 땅우에서 영영 사라지고말리라.	그 이름은 땅 위에서 영영 사라지고 말리라.	그 이름은 땅 우에서 영원히 사라지고 말리라.	55.20891570585194	68.66402116402116	67.60762843987433	68.34710334677712	땅 위 사라지고 말리라	땅 우 사라지고 말리라	그 이름은 에서 영영 .	그 이름은 에서 영원히 .
16	인내에 관한 이러한 설교를 나는 리해할수 없었다.	인내에 관한 이러한 설교를 나는 이해할 수 없었다.	인내에 관한 이러한 설교를 나는 이해할수 없었다.	100.0	100.0	100.0	100.0	이해할 수	이해할수	인내에 관한 이러한 설교를 나는  없었다.	인내에 관한 이러한 설교를 나는  없었다.
17	이딸리아 거긴 정말 경치가 아름다와요.	이탈리아 거긴 정말 경치가 아름다워요.	이딸리아는 정말 경치가 아름다워요.	62.44425804253321	68.66402116402116	60.563017341768166	66.23372001734526	이탈리아 아름다워요	이딸리아 아름다워요	거긴 정말 경치가 .	는 정말 경치가 .
18	들도 거기 사는것도 다 함께 기뻐뛰여라.	들도 거기 사는 것도 다 함께 기뻐 뛰어라.	들도 거기 사는것도 다 함께 기뻐 뛰어라.	100.0	100.0	100.0	100.0	사는 것 기뻐 뛰어라	사는것 기뻐 뛰어라	들도 거기 도 다 함께 .	들도 거기 도 다 함께 .
19	그 수자는 사람의 이름을 표시하는것으로서 그 수는 666입니다.	그 숫자는 사람의 이름을 표시하는 것으로서 그 수는 666입니다.	그 숫자는 사람의 이름을 표시하는 것으로서 그 수는 666입니다.	100.0	100.0	100.0	100.0	숫자 표시하는 것	숫자 표시하는 것	그 는 사람의 이름을 으로서 그 수는 666입니다.	그 는 사람의 이름을 으로서 그 수는 666입니다.
20	그래서 마부는 인차 돌아왔다.	그래서 마부는 이내 돌아왔다.	그래서 마부는 인차 돌아왔다.	53.18084693084694	0.0	100.0	30.000000000000004	이내	인차	그래서 마부는  돌아왔다.	그래서 마부는  돌아왔다.
